chembl_id,smiles,IC50[nM]
CHEMBL1242111,Fc1c(O)cccc1-c1nn(C2CCCC2)c2ncnc(N)c12,1770.0
CHEMBL3940089,Clc1c(F)c(Nc2ncnc3c2cc(OC2CCN(C(=O)C=C)CC2)c(OCCC)c3)ccc1F,0.7
CHEMBL1241490,Nc1ncnc2n(C(C)C)nc(-c3cc4c(occ4)cc3)c12,964.0
CHEMBL3414594,O(C)c1c(-c2sc3ncnc(NCc4ncccc4)c3c2)cccc1,183.0
CHEMBL96780,Brc1cc(Nc2ncnc3c2cc(N)c(OC)c3)ccc1,3.8
CHEMBL1242666,O=Cc1c2c([nH]c1)cc(-c1nn(C(C)C)c3ncnc(N)c13)cc2,638.0
CHEMBL1204360,Fc1c(Nc2ncnc3c2cc(OC)c(OC)c3)cccc1,32.2
CHEMBL160935,S(Sc1n(C)c2c(c1C(=O)c1occc1)cccc2)c1n(C)c2c(c1C(=O)c1occc1)cccc2,7700.0
CHEMBL14952,S(=O)(=O)(CCNCCCOc1cc2c(Nc3ccc(OCc4ccccc4)cc3)ncnc2cc1)C,104.0
CHEMBL1173262,Brc1c(Br)ccc(C2=NN(C(=S)N)C(c3ccc(C)cc3)C2)c1,9830.0
CHEMBL203645,Clc1c(F)ccc(Nc2ncnc3c2cc(NC(=O)C#CCCC)nc3)c1,1.7
CHEMBL1683962,Clc1c(OCc2cc(F)ccc2)ccc(Nc2c(C#Cc3ccc(CN4CCOCC4)cc3)c(C)ncn2)c1,240.0
CHEMBL76587,Oc1ccc(CC(C#N)C#N)cc1,6500000.65
CHEMBL521155,O=C(Cn1c2ncnc(N)c2nc1)c1c2c([nH]c1)cccc2,34999.99
CHEMBL461782,Brc1c(Cl)sc(S(=O)([O-])=Nc2c(N3CCOCC3)ccc(C(=O)OCC)c2)c1,11100.0
CHEMBL1914461,Oc1ccc(-c2[nH]c3ncnc(NCc4ccccc4)c3c2)cc1,3.3
CHEMBL490577,O=C(NCCCCc1ccccc1)/C(/C#N)=C\c1cc(O)c([O-])cc1,100.0
CHEMBL1242748,Fc1c(O)cc(-c2nn([C@@H]3COCC3)c3ncnc(N)c23)cc1,4800.0
CHEMBL1242475,Nc1ncnc2n(C3CCCC3)nc(-c3cc4c([nH]nc4)cc3)c12,571.0
CHEMBL3233772,Clc1c(F)ccc(Nc2ncnc3sc(NC(=O)/C=C/C[NH2+]CCC[NH+](C)C)cc23)c1,1196.0
CHEMBL141175,Clc1ccc(CSCc2c([O-])c(OC)cc(/C=C(/C#N)\C(=O)N)c2)cc1,15848.92
CHEMBL3753444,O=C(Nc1cc(OC)c(OC)c(-c2cnc(OC)cc2)c1)Nc1ccncc1,455.17
CHEMBL539102,O(C)c1cc2c(Nc3ccccc3)ncnc2cc1,120.23
CHEMBL3899132,S(=O)(=O)(n1c2c(cc(Nc3ncnc4c3cc(NC(=O)/C=C/C[NH+](C)C)c(OCC)c4)cc2)cc1)c1ccccc1,16.0
CHEMBL56936,Clc1c(F)ccc(Nc2ncnc3c2cc(OCCNCC[NH+](C)C)c(OC)c3)c1,2.0
CHEMBL171311,OCC(Cc1ccccc1)n1c2ncnc(N)c2c(-c2ccccc2)c1,440.0
CHEMBL1241678,Clc1c(O)cc(-c2nn([C@@H]3COCC3)c3ncnc(N)c23)cc1,1580.0
CHEMBL474524,Clc1c(F)cc2[nH]cc(-c3ncnc4c3cc(OCCC[NH+]3CCOCC3)c(OC)c4)c2c1,333.0
CHEMBL1241481,O=C(OC(C)(C)C)Nc1c(OC)cc(-c2nn(C(C)C)c3ncnc(N)c23)cc1,170.0
CHEMBL596964,Fc1ccc(CNc2ncnc3c2cc(OCCCCCCC(=O)NO)c(OC)c3)cc1,100.0
